index,score,background,lung_L,lung_R,infection
coronacases_001,DSC,0.9989167189227449,0.9514386800132705,0.935569149887468,0.6291268220690213
coronacases_001,Sens,0.9989735883454621,0.9726244491240258,0.9786939085869185,0.47706614706058204
coronacases_001,Spec,0.9833339567366046,0.9980599748473657,0.9965499944964294,0.9996704793186668
coronacases_002,DSC,0.9976269726903578,0.9746728436086675,0.9723960113391868,0.8088044233140524
coronacases_002,Sens,0.9972204214072811,0.9734102686067443,0.9662703510153378,0.9377727463618603
coronacases_002,Spec,0.9863678377581139,0.9985563959885554,0.9985552709623973,0.9979988674136777
coronacases_003,DSC,0.9978762293515289,0.9197886828586841,0.9490495497660233,0.8900930756829969
coronacases_003,Sens,0.9985071337125223,0.8964603042700077,0.94654821754515,0.8942973660838974
coronacases_003,Spec,0.9692152309675551,0.9987084503123261,0.9983029705932482,0.997130831652598
coronacases_004,DSC,0.997829950799009,0.9771784521470986,0.9873073138163438,0.7402623876989385
coronacases_004,Sens,0.9971819015414517,0.9797469170244429,0.9924896431652663,0.7455710682231478
coronacases_004,Spec,0.9904572189509576,0.9982936266352638,0.9985879408561488,0.9994811339077109
coronacases_005,DSC,0.9978684188797723,0.9843618057899826,0.9829764565446261,0.8550023343311455
coronacases_005,Sens,0.9971660778024776,0.9890976956683033,0.9863614444910864,0.8827255354499934
coronacases_005,Spec,0.9907645008183241,0.9986941456605908,0.9984162043023621,0.9995765465737526
coronacases_006,DSC,0.9986786513201305,0.9864858944234884,0.98066920841958,0.8811962647579086
coronacases_006,Sens,0.9985961257313833,0.9883585844615965,0.981935042398871,0.8591195304875603
coronacases_006,Spec,0.9877455771817344,0.9992780378286357,0.9990397756261531,0.9997561372864473
coronacases_007,DSC,0.99774589867673,0.9687468979018807,0.9736739863632344,0.7933063337563098
coronacases_007,Sens,0.9970570455980782,0.9814529364860619,0.9701919392363487,0.8673789268465595
coronacases_007,Spec,0.9838235624138549,0.9981088924924431,0.9989379810985077,0.999114163877747
coronacases_008,DSC,0.998529630835962,0.9730332970448193,0.9715749885209649,0.8339351711719354
coronacases_008,Sens,0.9989756601584329,0.9693495290399134,0.9750625471698882,0.7830841952238622
coronacases_008,Spec,0.9811453834962665,0.9990728724129014,0.9984267060087656,0.9993305423139464
coronacases_009,DSC,0.9983232485427046,0.9809620819545661,0.9694835148654015,0.7285354305354647
coronacases_009,Sens,0.9986810016277026,0.9805594290246801,0.9688901906208941,0.666061544088458
coronacases_009,Spec,0.9778923439593938,0.9992401871176674,0.9986972706846592,0.9994555254345514
coronacases_010,DSC,0.9983531319770734,0.9223728830981313,0.9416363913119637,0.80510438030615
coronacases_010,Sens,0.9989825734034581,0.8949992519559152,0.941369987553439,0.80935743036958
coronacases_010,Spec,0.965426651705422,0.9989922267615045,0.9982489695310829,0.9977722559708847
radiopaedia_10_85902_1,DSC,0.9974726518689974,0.9797347875889233,0.9740179239338554,0.8423543009878818
radiopaedia_10_85902_1,Sens,0.9989186744389231,0.9708843114070571,0.9607336331126297,0.8129608003764837
radiopaedia_10_85902_1,Spec,0.9666734680409076,0.9993951204887007,0.9993545200886474,0.9995637972323074
radiopaedia_10_85902_3,DSC,0.9981633389949505,0.9799051202563736,0.9706993615832421,0.8553118555087471
radiopaedia_10_85902_3,Sens,0.9979366816550305,0.9748039277605342,0.9816227247342745,0.8302337461027637
radiopaedia_10_85902_3,Spec,0.9863741542981933,0.9991982333249813,0.9978137615403778,0.999618432688392
radiopaedia_14_85914_0,DSC,0.9787556098685531,0.7608056288303023,0.7309364997106581,0.5311049529087983
radiopaedia_14_85914_0,Sens,0.9965243234625958,0.7850137995048231,0.6800353479195781,0.37043816952899167
radiopaedia_14_85914_0,Spec,0.7905470888289782,0.9845759696158678,0.9871203641352443,0.9989609209971377
radiopaedia_27_86410_0,DSC,0.9958390417924877,0.9396853548358672,0.9345456520059231,0.6827568251802243
radiopaedia_27_86410_0,Sens,0.997288031809135,0.952381223825919,0.9121641731208032,0.6523174150075308
