score,background,infection,lungs,fold
DSC,0.997644300827969,0.8531554405627438,0.9790390565253011,fold_3
Sens,0.9979420787702591,0.836040165432022,0.9754778928450386,fold_3
Spec,0.977209522611321,0.9996599672593773,0.998783497133783,fold_3
DSC,0.9979039304827955,0.765458447639872,0.9665504351404463,fold_4
Sens,0.9985940676701124,0.696747397703346,0.9665574141802505,fold_4
Spec,0.9761167256678549,0.998577490391954,0.9987025107651277,fold_4
DSC,0.9977879247378696,0.801055378535181,0.9771254346659066,fold_1
Sens,0.9971739896719647,0.8750522311482765,0.979438309309485,fold_1
Spec,0.9884125283545357,0.999297648892729,0.9984983086105913,fold_1
DSC,0.9973257919250265,0.5557353437886741,0.9071507026378509,fold_0
Sens,0.9985379472596365,0.4466154240063255,0.9126184700975071,fold_0
Spec,0.9642400981295994,0.9992326494902768,0.9945270808746512,fold_0
DSC,0.9982582354860119,0.8289555879505663,0.9519354832595391,fold_2
Sens,0.9988376201486766,0.7962208127967211,0.945195328929789,fold_2
Spec,0.9732860176008442,0.9985513991424155,0.9985319575614666,fold_2
