score,background,infection,lungs,fold
Acc,0.995825497883321,0.999125744643189,0.9977920966242961,fold_3
DSC,0.997644300827969,0.8531554405627438,0.9790390565253011,fold_3
IoU,0.9952997327217563,0.7440701984415639,0.9589554821497984,fold_3
Prec,0.9973960001435616,0.8647684759115295,0.9788157481428847,fold_3
Sens,0.9979420787702591,0.836040165432022,0.9754778928450386,fold_3
Spec,0.977209522611321,0.9996599672593773,0.998783497133783,fold_3
Acc,0.9968116825366798,0.9967628618411448,0.9970616456623426,fold_2
DSC,0.9982582354860119,0.8289555879505663,0.9519354832595391,fold_2
IoU,0.9965225458264135,0.7079080378800655,0.9090472427024507,fold_2
Prec,0.9979042414396507,0.8823237281475127,0.9575345848983496,fold_2
Sens,0.9988376201486766,0.7962208127967211,0.945195328929789,fold_2
Spec,0.9732860176008442,0.9985513991424155,0.9985319575614666,fold_2
Acc,0.9952186473558355,0.9886961705045605,0.9925866039627548,fold_0
DSC,0.9973257919250265,0.5557353437886741,0.9071507026378509,fold_0
IoU,0.9946673147199462,0.3851906115639121,0.8313313831162676,fold_0
Prec,0.9961140151588483,0.9306813096263234,0.8866437133618417,fold_0
Sens,0.9985379472596365,0.4466154240063255,0.9126184700975071,fold_0
Spec,0.9642400981295994,0.9992326494902768,0.9945270808746512,fold_0
Acc,0.9962179997727871,0.9958426972072558,0.9967078984665219,fold_4
DSC,0.9979039304827955,0.765458447639872,0.9665504351404463,fold_4
IoU,0.995816631125859,0.621485002728932,0.9354725895900579,fold_4
Prec,0.9974189829419462,0.8449350365681481,0.9687408711995453,fold_4
Sens,0.9985940676701124,0.696747397703346,0.9665574141802505,fold_4
Spec,0.9761167256678549,0.998577490391954,0.9987025107651277,fold_4
Acc,0.9960750115125214,0.9988708388853265,0.9974420676796127,fold_1
DSC,0.9977879247378696,0.801055378535181,0.9771254346659066,fold_1
IoU,0.9955856179378999,0.6682034467226088,0.9552983961515591,fold_1
Prec,0.9984572735827539,0.7329592237115256,0.9771941433875322,fold_1
Sens,0.9971739896719647,0.8750522311482765,0.979438309309485,fold_1
Spec,0.9884125283545357,0.999297648892729,0.9984983086105913,fold_1
